Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
4,"Von Ahn, M Blum, NJ Hopper, J Langford",CAPTCHA: Using hard AI problems for security,2118,2003, Springer, Advances in Cryptology …,https://link.springer.com/chapter/10.1007/3-540-39200-9_18,101
20,"Mori, J Malik",Recognizing objects in adversarial clutter: Breaking a visual CAPTCHA,915,2003, ieeexplore.ieee.org, 2003 IEEE Computer Society Conference on …,https://ieeexplore.ieee.org/abstract/document/1211347/,44
23,"Elson, JR Douceur, J Howell, J Saul",Asirra: a CAPTCHA that exploits interest-aligned manual image categorization.,647,2007, dl.acm.org, CCS,https://dl.acm.org/doi/pdf/10.1145/1315245.1315291,38
7,"Yan, AS El Ahmad",A Low-cost Attack on a Microsoft CAPTCHA,556,2008, dl.acm.org, Proceedings of the 15th ACM conference on …,https://dl.acm.org/doi/abs/10.1145/1455770.1455839,35
5,"Bursztein, M Martin, J Mitchell",Text-based CAPTCHA strengths and weaknesses,467,2011, dl.acm.org, … of the 18th ACM conference on …,https://dl.acm.org/doi/abs/10.1145/2046707.2046724,36
13,"Yan, AS El Ahmad",Usability of CAPTCHAs or usability issues in CAPTCHA design,416,2008, dl.acm.org, Proceedings of the 4th symposium on Usable …,https://dl.acm.org/doi/abs/10.1145/1408664.1408671,26
12,Golle,Machine learning attacks against the Asirra CAPTCHA,385,2008, dl.acm.org, Proceedings of the 15th ACM conference on Computer …,https://dl.acm.org/doi/abs/10.1145/1455770.1455838,24
34,"Bursztein, S Bethard, C Fabry…",How good are humans at solving CAPTCHAs? A large scale evaluation,352,2010, ieeexplore.ieee.org, … IEEE symposium on …,https://ieeexplore.ieee.org/abstract/document/5504799/,25
14,"Motoyama, K Levchenko, C Kanich…",Re:{CAPTCHAs—Understanding}{CAPTCHA-Solving} Services in an Economic Context,289,2010, usenix.org, 19th USENIX Security …,https://www.usenix.org/event/sec10/tech/full_papers/Motoyama.pdf,21
1,"Gossweiler, M Kamvar, S Baluja",What's up CAPTCHA? A CAPTCHA based on image orientation,276,2009, dl.acm.org, Proceedings of the 18th international …,https://dl.acm.org/doi/abs/10.1145/1526709.1526822,18
44,"Chew, JD Tygar",Image recognition captchas,264,2004, Springer, International Conference on Information Security,https://link.springer.com/chapter/10.1007/978-3-540-30144-8_23,13
19,"Datta, J Li, JZ Wang",Imagination: a robust image-based captcha generation system,207,2005, dl.acm.org, Proceedings of the 13th annual ACM …,https://dl.acm.org/doi/abs/10.1145/1101149.1101218,11
48," Zhu, J Yan, G Bao, M Yang…",Captcha as graphical passwords—A new security primitive based on hard AI problems,195,2014, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/6775249/,20
83," Bigham, AC Cavender",Evaluating existing audio CAPTCHAs and an interface optimized for non-visual use,194,2009, dl.acm.org, Proceedings of the SIGCHI conference on …,https://dl.acm.org/doi/abs/10.1145/1518701.1518983,13
37,"Osadchy, J Hernande","No bot expects the DeepCAPTCHA! Introducing immutable adversarial examples, with applications to CAPTCHA generation",168,2017, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/7954632/,24
27," Kluever, R Zanibbi",Balancing usability and security in a video CAPTCHA,139,2009, dl.acm.org, Proceedings of the 5th Symposium on Usable …,https://dl.acm.org/doi/abs/10.1145/1572532.1572551,9
79,"Pope, K Kaur",Is it human or computer? Defending E-commerce with Captchas,136,2005, ieeexplore.ieee.org, IT professional,https://ieeexplore.ieee.org/abstract/document/1425425/,7
30,"Ye, Z Tang, D Fang, Z Zhu, Y Feng, P Xu…",Yet another text captcha solver: A generative adversarial network based approach,133,2018, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3243734.3243754,22
2," Singh, P Pal",Survey of different types of CAPTCHA,129,2014, academia.edu, International Journal of Computer Science and …,https://www.academia.edu/download/33706358/ijcsit20140502289.pdf,13
16,"Stark, C Hazırbas, R Triebel, D Cremers",Captcha recognition with active deep learning,125,2015, Citeseer, Workshop new challenges in …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=69a393a08b4f2b2e4868aa4f62b9421e06267f16#page=94,14
54," Baird, JL Bentley",Implicit captchas,119,2005, spiedigitallibrary.org, Document Recognition and Retrieval …,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/5676/0000/Implicit-CAPTCHAs/10.1117/12.590944.short,6
9," Fidas, AG Voyiatzis, NM Avouris",On the necessity of user-friendly CAPTCHA,109,2011, dl.acm.org, Proceedings of the SIGCHI …,https://dl.acm.org/doi/abs/10.1145/1978942.1979325,8
11," El Ahmad, J Yan, L Marshall",The robustness of a new CAPTCHA,100,2010, dl.acm.org, … of the third european workshop on …,https://dl.acm.org/doi/abs/10.1145/1752046.1752052,7
36,"Von Ahn, M Blum, N Hopper…",Captcha: Telling humans and computers apart automatically,99,2003, iro.umontreal.ca, Proceedings of …,https://www.iro.umontreal.ca/~aimeur/cours/ift6261/cours_2016/Cours_IFT6261-Captcha-H16.pdf,5
29,"Tang, H Gao, Y Zhang, Y Liu…",Research on deep learning techniques in breaking text-based captchas and designing image-based captcha,98,2018, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/8327894/,16
58,"Soupionis, D Gritzalis",Audio CAPTCHA: Existing solutions assessment and a new implementation for VoIP telephony,93,2010, Elsevier, computers & security,https://www.sciencedirect.com/science/article/pii/S0167404809001412,7
71," Baird, TP Riopka",Scattertype: a reading captcha resistant to segmentation attack,91,2005, spiedigitallibrary.org, Document Recognition and Retrieval …,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/5676/0000/ScatterType-a-reading-CAPTCHA-resistant-to-segmentation-attack/10.1117/12.587811.short,5
70,"Li, SAH Shah, MAU Khan, SA Khayam…",Breaking e-banking CAPTCHAs,87,2010, dl.acm.org, Proceedings of the 26th …,https://dl.acm.org/doi/abs/10.1145/1920261.1920288,6
